message_size,my_bandwidth,bcast_bandwidth
8,17360.5,161973
16,160075,4.01707e+06
32,1.11798e+06,1.04575e+07
64,623253,2.15779e+07
128,1.24116e+06,4.12371e+07
256,575990,1.599e+07
512,44754.2,8.55015e+06
1024,9.99766e+06,2.49446e+07
2048,2.28062e+07,1.24317e+08
4096,3.55379e+06,2.54917e+08
8192,1.43559e+07,2.99897e+08
16384,2.11289e+07,2.75019e+08
32768,3.47752e+07,5.84725e+08
65536,7.37186e+07,6.44171e+08
131072,6.90233e+07,5.86182e+08
262144,8.25427e+07,6.23086e+08
524288,8.20162e+07,6.3139e+08
1048576,8.05693e+07,6.28705e+08
2097152,7.33587e+07,5.80335e+08
4194304,6.82791e+07,5.54193e+08
8388608,6.62802e+07,5.4566e+08
16777216,6.55182e+07,7.29383e+08
33554432,6.09457e+07,7.35066e+08
67108864,6.18683e+07,7.24468e+08
134217728,6.16547e+07,7.16575e+08
